                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.662,                0.27568,                0.37297,                 1.9893,              0.0033309,              0.0033309,              0.0033309
                      2,                0.21983,                0.27568,                0.35676,                 1.9718,              0.0065983,              0.0065983,              0.0065983
                      3,                0.18238,                0.28108,                0.34595,                 1.9709,              0.0097996,              0.0097996,              0.0097996
                      4,                0.21306,                0.25946,                0.36216,                 1.9785,               0.009703,               0.009703,               0.009703
                      5,                 0.1905,                0.28649,                0.36216,                 1.9736,               0.009703,               0.009703,               0.009703
                      6,                0.16874,                0.28108,                0.35135,                 1.9694,               0.009604,               0.009604,               0.009604
                      7,                0.15481,                0.28108,                0.35676,                 1.9671,               0.009505,               0.009505,               0.009505
                      8,                0.14431,                0.28108,                0.34595,                 1.9663,               0.009406,               0.009406,               0.009406
                      9,                0.13497,                0.27568,                0.36216,                 1.9645,               0.009307,               0.009307,               0.009307
                     10,                0.12526,                0.28108,                0.36757,                 1.9647,               0.009208,               0.009208,               0.009208
                     11,                0.11932,                0.27027,                0.36216,                 1.9684,               0.009109,               0.009109,               0.009109
                     12,                0.11786,                0.28108,                0.38378,                 1.9647,                0.00901,                0.00901,                0.00901
                     13,                0.11128,                0.29189,                0.38378,                 1.9635,               0.008911,               0.008911,               0.008911
                     14,                0.10461,                0.30811,                0.37838,                 1.9567,               0.008812,               0.008812,               0.008812
                     15,                0.10306,                0.29189,                0.36216,                 1.9635,               0.008713,               0.008713,               0.008713
                     16,                 0.0996,                 0.3027,                0.35676,                 1.9562,               0.008614,               0.008614,               0.008614
                     17,                0.09655,                 0.2973,                0.36757,                  1.957,               0.008515,               0.008515,               0.008515
                     18,                0.09037,                 0.3027,                0.36757,                 1.9549,               0.008416,               0.008416,               0.008416
